,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S
167145,1,38,31,37,15,25,6,4,23,2,6,8,0,0,5,3,0,0,5,2,0,0,1,0,0,0,6,2,3
49876,1,67,68,82,6,32,18,11,59,6,4,7,8,2,3,1,7,0,4,0,0,5,1,2,0,2,2,6,7
14869,1,27,41,28,10,11,2,3,12,2,2,3,2,0,0,1,3,1,1,2,0,1,0,0,0,0,2,0,3
3560,1,47,30,41,7,25,8,4,18,2,0,0,3,0,5,1,1,0,2,2,0,3,0,0,0,1,2,1,0
8653,1,70,25,41,4,28,18,6,17,3,2,2,1,0,2,2,2,0,4,0,0,1,0,0,0,0,5,2,2
8013,1,30,56,35,8,19,0,1,14,0,0,11,1,2,1,7,4,0,0,0,0,1,0,0,0,0,9,5,2
265366,1,55,39,42,8,24,10,6,29,2,2,3,4,0,4,0,2,0,2,0,4,1,0,1,1,1,5,2,2
14853,1,37,32,28,10,9,6,4,6,3,0,4,3,2,4,0,2,0,1,0,0,1,0,0,0,0,3,1,1
14763,1,10,13,17,3,5,4,2,2,1,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0,0,2,5,4
8488,1,45,20,16,1,22,2,8,7,2,0,3,1,0,1,1,0,0,4,0,0,1,0,0,0,0,0,1,2
26150,1,31,42,51,9,20,14,4,17,2,0,6,1,0,5,3,4,1,2,0,2,1,0,0,2,0,2,15,9
192748,1,14,13,16,4,5,2,1,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2
120339,1,21,9,15,3,6,6,2,6,2,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,2,1
7868,0,24,26,26,7,10,2,2,7,3,4,1,1,0,2,5,4,0,0,2,0,0,0,0,0,0,6,4,5
149019,1,37,36,30,3,13,6,2,9,1,0,3,1,0,0,0,2,0,2,0,0,2,0,0,0,0,1,0,1
3319,1,25,50,34,9,10,8,0,17,1,0,3,6,0,2,8,2,0,2,2,0,4,2,0,0,0,9,5,4
12829,1,11,39,14,3,2,0,1,4,0,0,3,2,0,0,8,0,0,0,0,0,1,1,0,0,1,2,5,13
370224,1,24,7,18,0,7,2,5,6,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7882,1,13,15,15,2,12,0,2,8,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
8480,1,8,22,15,4,3,0,3,8,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0
7945,1,7,18,8,0,4,2,1,6,2,0,0,2,4,0,0,2,0,2,0,0,1,0,0,0,0,2,2,5
25413,1,7,24,20,8,2,2,0,5,1,0,3,3,2,2,3,1,0,1,0,0,0,0,0,1,1,0,4,4
7870,1,23,35,34,8,9,6,1,5,2,0,3,7,0,2,4,3,1,1,4,0,2,0,0,0,0,1,4,3
217078,1,3,4,9,2,3,2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26010,1,7,15,12,2,6,0,0,6,0,0,3,0,0,1,2,0,0,1,0,0,1,0,2,0,0,1,1,7
255935,0,3,6,3,0,4,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
3657,0,5,6,2,3,2,0,0,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1
8086,1,61,46,56,5,19,20,5,31,9,2,1,4,2,4,3,4,0,3,6,2,1,1,0,0,0,3,2,4
247248,1,23,30,24,8,6,2,1,20,2,2,3,4,0,0,2,1,1,2,0,0,1,0,0,1,0,1,1,6
3278,1,27,32,32,15,7,4,4,13,3,2,5,5,0,1,0,2,1,0,0,0,1,0,4,0,0,2,1,0
38021,1,32,85,50,4,20,14,3,40,4,2,11,7,4,1,4,3,0,1,0,0,1,0,0,0,1,2,19,11
8307,1,41,18,17,1,10,6,6,10,0,2,1,2,0,0,0,0,0,1,2,0,2,0,0,0,0,2,0,1
9380,1,27,11,15,0,8,10,6,4,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1
70086,1,72,30,40,8,39,24,5,28,2,0,4,0,0,3,0,3,0,3,0,0,2,1,0,1,1,1,4,4
70083,1,24,18,15,4,9,4,4,7,1,0,5,1,0,3,0,1,0,1,0,0,3,1,0,0,0,2,0,2
8317,1,31,48,49,6,14,8,3,18,2,0,7,7,0,3,6,2,0,0,0,0,2,2,2,0,0,2,9,1
15526,1,23,50,50,11,16,2,2,13,5,2,6,4,2,1,4,4,1,1,2,0,1,0,0,0,0,2,14,4
64966,1,12,19,13,6,7,0,1,4,3,0,1,1,2,2,0,0,0,0,0,1,2,2,0,0,0,3,0,0
105339,1,54,30,46,9,32,10,9,36,3,2,3,1,0,1,3,4,1,2,6,0,2,1,0,1,0,1,2,3
8277,1,42,35,40,9,23,16,8,8,8,6,3,1,0,2,2,1,1,2,0,1,3,0,0,0,0,4,5,3
8325,0,7,16,12,2,4,4,0,9,1,0,1,1,0,0,4,2,0,0,0,1,0,0,0,1,0,2,9,15
466,1,47,45,43,4,24,20,2,22,0,0,2,5,0,3,2,4,0,0,2,0,1,0,0,1,0,12,9,3
9097,1,76,25,33,3,30,8,3,18,3,2,0,2,0,2,2,1,0,2,0,0,0,0,0,0,0,6,3,1
61390,0,6,33,27,3,6,2,0,13,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0
340386,1,10,14,10,6,3,4,2,3,1,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,3,7
8242,1,48,32,32,4,26,4,9,10,1,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,4
71654,0,7,13,22,2,7,6,7,14,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
62091,0,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245364,0,6,24,21,6,10,8,1,9,1,0,3,0,2,5,5,2,0,0,0,0,2,0,0,1,0,5,8,7
8416,1,17,30,20,6,9,0,2,8,1,2,1,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,3,8
