Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
Hector Bellerin Moruno,1,38,31,37,15,25,6,4,23,2,6,8,0,0,5,3,0,0,5,2,0,0,1,0,0,0,6,2,3,,,,,,,,,,,,,
Granit Xhaka,1,67,68,82,6,32,18,11,59,6,4,7,8,2,3,1,7,0,4,0,0,5,1,2,0,2,2,6,7,,,,,,,,,,,,,
Sead Kolasinac,1,27,41,28,10,11,2,3,12,2,2,3,2,0,0,1,3,1,1,2,0,1,0,0,0,0,2,0,3,,,,,,,,,,,,,
Ignacio Monreal Eraso,1,47,30,41,7,25,8,4,18,2,0,0,3,0,5,1,1,0,2,2,0,3,0,0,0,1,2,1,0,,,,,,,,,,,,,
Harry  Maguire,1,70,25,41,4,28,18,6,17,3,2,2,1,0,2,2,2,0,4,0,0,1,0,0,0,0,5,2,2,,,,,,,,,,,,,
Marc Albrighton,1,30,56,35,8,19,0,1,14,0,0,11,1,2,1,7,4,0,0,0,0,1,0,0,0,0,9,5,2,,,,,,,,,,,,,
Onyinye Wilfred Ndidi,1,55,39,42,8,24,10,6,29,2,2,3,4,0,4,0,2,0,2,0,4,1,0,1,1,1,5,2,2,,,,,,,,,,,,,
Christian Fuchs,1,37,32,28,10,9,6,4,6,3,0,4,3,2,4,0,2,0,1,0,0,1,0,0,0,0,3,1,1,,,,,,,,,,,,,
Shinji Okazaki,1,10,13,17,3,5,4,2,2,1,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0,0,2,5,4,,,,,,,,,,,,,
Wes Morgan,1,45,20,16,1,22,2,8,7,2,0,3,1,0,1,1,0,0,4,0,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,
Riyad Mahrez,1,31,42,51,9,20,14,4,17,2,0,6,1,0,5,3,4,1,2,0,2,1,0,0,2,0,2,15,9,,,,,,,,,,,,,
Matty James,1,14,13,16,4,5,2,1,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,,,,,,,,,,,,,
Mohamed Naser Elsayed Elneny,1,21,9,15,3,6,6,2,6,2,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,2,1,,,,,,,,,,,,,
Alex Oxlade-Chamberlain,0,24,26,26,7,10,2,2,7,3,4,1,1,0,2,5,4,0,0,2,0,0,0,0,0,0,6,4,5,,,,,,,,,,,,,
Danny Simpson,1,37,36,30,3,13,6,2,9,1,0,3,1,0,0,0,2,0,2,0,0,2,0,0,0,0,1,0,1,,,,,,,,,,,,,
Mesut Ozil,1,25,50,34,9,10,8,0,17,1,0,3,6,0,2,8,2,0,2,2,0,4,2,0,0,0,9,5,4,,,,,,,,,,,,,
Jamie Vardy,1,11,39,14,3,2,0,1,4,0,0,3,2,0,0,8,0,0,0,0,0,1,1,0,0,1,2,5,13,,,,,,,,,,,,,
