,Player,121,123,231,213,212,1234,1213,1232,2134,2132,1212,2313,2312,121S,123S,231S,213S,212S,1234S,1213S,1232S,2134S,2132S,1212S,2313S,2312S,12S,21S,23S,Age,MP,Goals,Assists,xGp90,xAp90,ChCr,YC,RC,Tackles,Pressures,Position,Value
1,Granit Xhaka,1,67,68,82,6,32,18,11,59,6,4,7,8,2,3,1,7,0,4,0,0,5,1,2,0,2,2,6,7,24.0,38.0,1.0,7.0,0.06,0.11,96.0,10.0,0.0,78.0,555.0,midfield - Defensive Midfield,36000000.0
4,Harry  Maguire,1,70,25,41,4,28,18,6,17,3,2,2,1,0,2,2,2,0,4,0,0,1,0,0,0,0,5,2,2,24.0,38.0,2.0,4.0,0.06,0.05,37.0,7.0,0.0,74.0,281.0,Defender - Centre-Back,31500000.0
5,Marc Albrighton,1,30,56,35,8,19,0,1,14,0,0,11,1,2,1,7,4,0,0,0,0,1,0,0,0,0,9,5,2,27.0,34.0,2.0,7.0,0.06,0.18,67.0,5.0,1.0,62.0,545.0,midfield - Right Midfield,9000000.0
6,Onyinye Wilfred Ndidi,1,55,39,42,8,24,10,6,29,2,2,3,4,0,4,0,2,0,2,0,4,1,0,1,1,1,5,2,2,20.0,33.0,0.0,3.0,0.05,0.02,33.0,8.0,4.0,152.0,930.0,midfield - Defensive Midfield,22500000.0
7,Christian Fuchs,1,37,32,28,10,9,6,4,6,3,0,4,3,2,4,0,2,0,1,0,0,1,0,0,0,0,3,1,1,31.0,25.0,0.0,1.0,0.02,0.03,29.0,1.0,0.0,56.0,323.0,Defender - Left-Back,4500000.0
8,Shinji Okazaki,1,10,13,17,3,5,4,2,2,1,0,1,1,0,0,1,2,0,1,0,0,0,1,0,0,0,2,5,4,31.0,27.0,6.0,2.0,0.38,0.14,30.0,2.0,0.0,24.0,389.0,attack - Centre-Forward,5400000.0
9,Wes Morgan,1,45,20,16,1,22,2,8,7,2,0,3,1,0,1,1,0,0,4,0,0,1,0,0,0,0,0,1,2,33.0,32.0,0.0,0.0,0.04,0.01,7.0,4.0,0.0,36.0,234.0,Defender - Centre-Back,2700000.0
10,Riyad Mahrez,1,31,42,51,9,20,14,4,17,2,0,6,1,0,5,3,4,1,2,0,2,1,0,0,2,0,2,15,9,26.0,36.0,12.0,10.0,0.18,0.25,118.0,2.0,0.0,41.0,512.0,attack - Right Winger,45000000.0
11,Matty James,1,14,13,16,4,5,2,1,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,26.0,13.0,0.0,0.0,0.11,0.01,7.0,2.0,0.0,20.0,198.0,midfield - Central Midfield,1350000.0
12,Mohamed Naser Elsayed Elneny,1,21,9,15,3,6,6,2,6,2,0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,2,1,25.0,13.0,0.0,1.0,0.05,0.11,23.0,3.0,1.0,13.0,150.0,midfield - Defensive Midfield,9000000.0
13,Alex Oxlade-Chamberlain,0,24,26,26,7,10,2,2,7,3,4,1,1,0,2,5,4,0,0,2,0,0,0,0,0,0,6,4,5,23.0,32.0,3.0,7.0,0.15,0.25,70.0,3.0,0.0,36.0,336.0,midfield - Central Midfield,36000000.0
14,Danny Simpson,1,37,36,30,3,13,6,2,9,1,0,3,1,0,0,0,2,0,2,0,0,2,0,0,0,0,1,0,1,30.0,28.0,0.0,0.0,0.02,0.01,14.0,4.0,0.0,44.0,256.0,midfield - Attacking Midfield,675000.0
16,Jamie Vardy,1,11,39,14,3,2,0,1,4,0,0,3,2,0,0,8,0,0,0,0,0,1,1,0,0,1,2,5,13,30.0,37.0,20.0,1.0,0.49,0.08,60.0,3.0,0.0,21.0,513.0,attack - Centre-Forward,18000000.0
17,Rob Holding,1,24,7,18,0,7,2,5,6,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,21.0,12.0,0.0,0.0,0.03,0.01,4.0,3.0,0.0,17.0,102.0,Defender - Centre-Back,6300000.0
19,Kasper Schmeichel,1,8,22,15,4,3,0,3,8,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,0,30.0,33.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,Goalkeeper,10800000.0
21,Alexandre Lacazette,1,7,24,20,8,2,2,0,5,1,0,3,3,2,2,3,1,0,1,0,0,0,0,0,1,1,0,4,4,26.0,32.0,14.0,4.0,0.52,0.17,85.0,1.0,0.0,30.0,491.0,attack - Centre-Forward,54000000.0
22,Aaron Ramsey,1,23,35,34,8,9,6,1,5,2,0,3,7,0,2,4,3,1,1,4,0,2,0,0,0,0,1,4,3,26.0,24.0,7.0,8.0,0.3,0.23,57.0,0.0,0.0,34.0,404.0,midfield - Central Midfield,40500000.0
23,Daniel Amartey,1,3,4,9,2,3,2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,76.0,Defender - Centre-Back,4500000.0
24,Olivier Giroud,1,7,15,12,2,6,0,0,6,0,0,3,0,0,1,2,0,0,1,0,0,1,0,2,0,0,1,1,7,30.0,16.0,4.0,1.0,0.79,0.25,14.0,0.0,0.0,7.0,77.0,attack - Centre-Forward,16200000.0
26,Tomer Hemed,0,5,6,2,3,2,0,0,2,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,1,30.0,16.0,2.0,2.0,0.24,0.02,7.0,0.0,0.0,6.0,184.0,attack - Centre-Forward,2250000.0
27,Dale Stephens,1,61,46,56,5,19,20,5,31,9,2,1,4,2,4,3,4,0,3,6,2,1,1,0,0,0,3,2,4,28.0,36.0,0.0,3.0,0.03,0.04,37.0,6.0,0.0,100.0,806.0,midfield - Central Midfield,5400000.0
28,Solly March,1,23,30,24,8,6,2,1,20,2,2,3,4,0,0,2,1,1,2,0,0,1,0,0,1,0,1,1,6,23.0,36.0,1.0,1.0,0.07,0.08,35.0,3.0,0.0,56.0,460.0,midfield - Left Midfield,4500000.0
29,Bruno Saltor Grau,1,27,32,32,15,7,4,4,13,3,2,5,5,0,1,0,2,1,0,0,0,1,0,4,0,0,2,1,0,36.0,25.0,0.0,0.0,0.0,0.04,22.0,3.0,0.0,34.0,147.0,attack - Left Winger,540000.0
30,Kevin De Bruyne,1,32,85,50,4,20,14,3,40,4,2,11,7,4,1,4,3,0,1,0,0,1,0,0,0,1,2,19,11,26.0,37.0,8.0,16.0,0.18,0.39,196.0,2.0,0.0,66.0,578.0,midfield - Attacking Midfield,135000000.0
31,Vincent Kompany,1,41,18,17,1,10,6,6,10,0,2,1,2,0,0,0,0,0,1,2,0,2,0,0,0,0,2,0,1,31.0,17.0,1.0,1.0,0.07,0.04,11.0,6.0,0.0,21.0,93.0,Defender - Centre-Back,9000000.0
32,John Stones,1,27,11,15,0,8,10,6,4,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,23.0,18.0,0.0,0.0,0.08,0.0,7.0,0.0,0.0,19.0,91.0,Defender - Centre-Back,49500000.0
34,Danilo Luiz da Silva,1,24,18,15,4,9,4,4,7,1,0,5,1,0,3,0,1,0,1,0,0,3,1,0,0,0,2,0,2,26.0,23.0,3.0,2.0,0.07,0.01,29.0,2.0,0.0,45.0,155.0,Defender - Right-Back,18000000.0
35,David Josue Jimenez Silva,1,31,48,49,6,14,8,3,18,2,0,7,7,0,3,6,2,0,0,0,0,2,2,2,0,0,2,9,1,31.0,29.0,9.0,11.0,0.27,0.29,132.0,5.0,0.0,38.0,380.0,midfield - Attacking Midfield,27000000.0
37,Markus Suttner,1,12,19,13,6,7,0,1,4,3,0,1,1,2,2,0,0,0,0,0,1,2,2,0,0,0,3,0,0,32.0,21.0,0.0,1.0,0.03,0.04,33.0,3.0,0.0,28.0,214.0,Defender - Left-Back,2250000.0
39,Kyle Walker,1,42,35,40,9,23,16,8,8,8,6,3,1,0,2,2,1,1,2,0,1,3,0,0,0,0,4,5,3,27.0,32.0,0.0,6.0,0.02,0.15,53.0,3.0,2.0,53.0,319.0,Defender - Right-Back,45000000.0
42,Lewis Dunk,1,76,25,33,3,30,8,3,18,3,2,0,2,0,2,2,1,0,2,0,0,0,0,0,0,0,6,3,1,25.0,38.0,1.0,1.0,0.07,0.01,28.0,7.0,0.0,75.0,353.0,Defender - Centre-Back,9000000.0
43,Mathew Ryan,0,6,33,27,3,6,2,0,13,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,25.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,Goalkeeper,7200000.0
44,Gabriel Fernando de Jesus,1,10,14,10,6,3,4,2,3,1,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,1,2,3,7,23.0,29.0,5.0,2.0,0.21,0.09,58.0,6.0,1.0,86.0,768.0,midfield - Defensive Midfield,13500000.0
45,Shane Duffy,1,48,32,32,4,26,4,9,10,1,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,4,25.0,37.0,0.0,1.0,0.05,0.02,15.0,8.0,0.0,40.0,185.0,Defender - Centre-Back,10800000.0
46,Ederson Santana de Moraes,0,7,13,22,2,7,6,7,14,3,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,23.0,36.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,attack - Centre-Forward,3150000.0
49,Glenn Murray,1,17,30,20,6,9,0,2,8,1,2,1,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,3,8,33.0,35.0,12.0,0.0,0.47,0.04,36.0,9.0,0.0,19.0,485.0,attack - Centre-Forward,2700000.0
50,Raheem Shaquille Sterling,1,13,24,24,5,10,4,1,13,2,0,11,2,2,1,3,1,2,2,0,2,2,0,0,0,0,4,9,9,22.0,33.0,18.0,11.0,0.64,0.26,126.0,4.0,2.0,27.0,375.0,attack - Left Winger,81000000.0
51,Bernardo Mota Veiga de Carvalho e Silva,1,12,22,21,10,7,4,4,8,0,0,5,1,0,0,4,3,0,1,0,0,1,0,0,0,1,4,3,3,22.0,35.0,6.0,4.0,0.25,0.13,59.0,0.0,0.0,28.0,303.0,midfield - Attacking Midfield,45000000.0
52,Gary  Cahill,1,33,20,23,3,26,4,5,25,1,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,1,31.0,27.0,0.0,0.0,0.02,0.0,7.0,1.0,1.0,33.0,202.0,Defender - Centre-Back,13500000.0
53,Thibaut Courtois,1,16,18,27,4,5,2,3,17,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,25.0,35.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,Goalkeeper,58500000.0
54,David Luiz Moreira Marinho,1,22,13,7,1,7,2,1,7,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,4,1,1,30.0,10.0,1.0,0.0,0.07,0.01,4.0,4.0,1.0,20.0,94.0,Defender - Centre-Back,22500000.0
59,Willian Borges da Silva,1,17,31,18,3,7,2,2,13,2,0,2,0,4,5,8,2,2,0,0,0,1,0,0,0,1,2,6,4,28.0,36.0,6.0,7.0,0.25,0.28,108.0,1.0,0.0,34.0,319.0,attack - Left Winger,34200000.0
60,Jack Cork,1,63,20,60,8,30,8,3,30,2,4,6,8,2,6,3,5,0,4,0,0,3,1,0,1,0,8,3,0,28.0,38.0,2.0,1.0,0.05,0.02,57.0,7.0,0.0,56.0,762.0,midfield - Defensive Midfield,13500000.0
61,Stephen Ward,1,25,32,39,9,17,4,2,10,1,0,1,0,0,2,3,1,0,0,0,1,0,0,0,0,0,2,3,0,31.0,28.0,1.0,1.0,0.01,0.07,26.0,1.0,0.0,43.0,300.0,Defender - Left-Back,2700000.0
62,Steven Defour,1,48,17,31,4,21,10,3,18,0,0,2,2,0,1,1,3,1,0,0,0,0,0,0,0,0,1,4,1,29.0,24.0,1.0,1.0,0.03,0.05,33.0,6.0,0.0,44.0,545.0,midfield - Defensive Midfield,6300000.0
