,Unnamed: 0,player_id,date,market_value,position
0,21,Daniel Davari,2018-06-19,225000,Goalkeeper
1,89,Oscar Diaz,2018-05-30,180000,attack - Centre-Forward
2,113,Rodri Rios,2018-05-30,720000,attack - Centre-Forward
3,130,Hicham Khaloua,2018-05-30,360000,attack - Second Striker
4,158,Guyon Philips,2018-06-29,68000,attack - Centre-Forward
5,193,Frantisek Kubik,2018-06-28,270000,attack - Left Winger
6,207,Pavel Kireenko,2018-06-06,315000,attack - Left Winger
7,223,Ilya Belous,2018-06-06,270000,attack - Centre-Forward
8,324,Gedo,2018-05-23,180000,attack - Second Striker
9,399,Evgeniy Kozlov,2018-06-01,135000,attack - Left Winger
10,478,Ilya Petrov,2018-06-06,270000,midfield - Central Midfield
11,492,Nikita Nikolaev,2018-06-06,90000,Defender - Left-Back
12,575,Vitalie Bordian,2018-06-28,135000,Defender - Right-Back
13,614,Piotr Polczak,2018-06-14,450000,Defender - Centre-Back
14,657,Ariel Borysiuk,2018-07-03,450000,midfield - Defensive Midfield
15,703,Marcin Kowalczyk,2018-07-03,68000,Defender - Centre-Back
16,756,Mikhail Mzhelskiy,2018-06-06,68000,Goalkeeper
17,793,Joeri Schroijen,2018-06-29,180000,attack - Left Winger
18,936,Markus Gustafsson,2018-06-20,270000,midfield - Central Midfield
19,974,Mike Grella,2018-05-02,405000,midfield - Left Midfield
20,997,Michal Peskovic,2018-07-03,45000,Goalkeeper
21,1011,Alexander Christovao,2018-07-03,90000,attack - Centre-Forward
22,1085,Artem Stargorodskyi,2018-05-27,23000,midfield - Central Midfield
23,1145,Michael Odibe,2018-07-01,360000,Defender - Centre-Back
24,1206,Jucilei,2018-05-23,3600000,midfield - Defensive Midfield
25,1280,Volodymyr Korobka,2018-05-27,135000,attack - Right Winger
26,1387,Gustav Svensson,2018-05-02,675000,midfield - Defensive Midfield
27,1409,Dmitri Matvienko,2018-06-06,180000,Defender - Right-Back
28,1459,Marin Ljubicic,2018-07-13,383000,midfield - Defensive Midfield
29,1486,Celio Santos,2018-07-03,405000,Defender - Centre-Back
30,1502,Boban Grncarov,2018-05-26,180000,Defender - Centre-Back
31,1623,Cristobal Gil,2018-05-30,135000,midfield - Attacking Midfield
32,1674,Marcelo Silva,2018-05-02,540000,Defender - Centre-Back
33,1689,Hans Martinez,2018-06-03,225000,Defender - Centre-Back
34,1718,Bolano,2018-05-30,450000,Defender - Centre-Back
35,1745,Hernan Pellerano,2018-07-20,225000,Defender - Centre-Back
36,1763,Kiutm,2018-06-30,225000,attack
37,1857,Armen Ambartsumyan,2018-06-06,270000,midfield - Central Midfield
38,1949,Nikita Bazhenov,2018-07-01,180000,attack - Centre-Forward
39,1978,Jan Holenda,2018-07-14,450000,attack - Centre-Forward
40,1998,Maksim Astafjev,2018-06-06,90000,attack - Right Winger
41,2069,Yuri Petrakov,2018-06-06,45000,midfield - Central Midfield
42,2151,Martin Jiranek,2018-06-30,23000,Defender - Centre-Back
43,2172,Renat Sabitov,2018-06-06,90000,Defender - Centre-Back
44,2215,Kornel Salata,2018-07-13,270000,Defender - Centre-Back
45,2248,Murilo,2018-06-19,338000,Defender - Centre-Back
46,2276,Eugen Sidorenco,2018-06-28,180000,attack - Centre-Forward
47,2296,Mirko Bigazzi,2018-06-26,45000,attack - Right Winger
48,2299,Diego Goncalves,2018-05-23,135000,attack - Left Winger
49,2347,Aleksey Aravin,2018-06-06,180000,Defender - Right-Back
50,2362,Paulo Sergio,2018-07-05,180000,midfield - Attacking Midfield
51,2417,Tin Karamatic,2018-07-31,135000,Defender - Centre-Back
52,2459,Orhan Ademi,2018-06-08,293000,attack - Centre-Forward
53,2504,Bjorn Kluft,2018-06-08,135000,attack - Second Striker
54,2555,Jonas Erwig Druppel,2018-07-15,113000,attack - Right Winger
55,2586,Jan Hochscheidt,2018-06-19,540000,midfield - Attacking Midfield
56,2614,Rasmus Elm,2018-06-20,270000,midfield - Central Midfield
57,2655,Salim Khelifi,2018-06-19,810000,midfield - Right Midfield
58,2656,Salim Khelifi,2018-07-12,810000,midfield - Right Midfield
59,2706,Kevin Kratz,2018-05-02,518000,midfield - Central Midfield
60,2727,Jan Washausen,2018-06-08,225000,midfield - Defensive Midfield
61,2749,Jakub Vojtus,2018-07-03,135000,attack - Right Winger
62,2777,Benjamin Kessel,2018-06-19,405000,Defender - Right-Back
63,2808,Mirko Boland,2018-06-19,540000,midfield - Attacking Midfield
64,2809,Mirko Boland,2018-07-24,540000,midfield - Attacking Midfield
65,2839,Timo Perthel,2018-06-19,450000,Defender - Left-Back
66,2887,Norman Theuerkauf,2018-06-19,495000,Defender - Left-Back
67,2954,Marco Caligiuri,2018-06-19,270000,Defender - Centre-Back
68,3061,Marc Pfitzner,2018-06-08,113000,midfield - Defensive Midfield
69,3107,Muhammed Akyildiz,2018-06-30,23000,attack - Centre-Forward
70,3126,Ibrahim Alan,2018-07-04,45000,attack - Centre-Forward
71,3137,Elia Bruzzi,2018-06-26,23000,attack - Centre-Forward
72,3155,Simone Dellagnello,2018-06-19,135000,attack - Centre-Forward
73,3175,Doudou Mangni,2018-06-21,68000,attack - Centre-Forward
74,3205,Simone Magnaghi,2018-06-20,180000,attack - Centre-Forward
75,3221,Michael Ventre,2018-06-30,23000,attack - Second Striker
76,3289,Florian Hart,2018-06-14,360000,midfield - Central Midfield
77,3305,Jean Christophe Coubronne,2018-05-28,135000,Defender - Right-Back
78,3333,Marcel Correia,2018-06-19,405000,Defender - Centre-Back
79,3375,Filippo Moscati,2018-06-19,135000,attack - Centre-Forward
80,3429,Ozgur Can Ozcan,2018-05-30,315000,attack - Centre-Forward
81,3457,Erkan Taskiran,2018-07-04,68000,attack - Left Winger
82,3491,Alessandro Riedle,2018-07-10,180000,midfield - Central Midfield
83,3509,Emin Aladag,2018-07-04,45000,midfield - Defensive Midfield
84,3549,Fabinho,2018-06-21,180000,midfield - Defensive Midfield
85,3589,Gokhan Dincer,2018-07-04,23000,Defender - Left-Back
86,3600,Serkan Yalcin,2018-07-04,23000,Defender - Centre-Back
87,3621,Hakan Ates,2018-07-04,45000,Defender - Right-Back
88,3629,Alican Candemir,2018-05-30,23000,Goalkeeper
89,3642,Mustafa Asan,2018-07-04,23000,midfield - Central Midfield
90,3659,Evren Ozyigit,2018-07-04,23000,Goalkeeper
91,3681,Maicosuel,2018-05-23,900000,attack - Left Winger
92,3706,Filippo Berra,2018-06-18,315000,Defender - Right-Back
93,3732,Frano Mlinar,2018-06-27,270000,midfield - Defensive Midfield
94,3749,Rosario Licata,2018-07-01,23000,Defender - Left-Back
95,3762,Matias Campos Toro,2018-06-03,270000,Defender - Left-Back
96,3809,Serdar Eylik,2018-07-04,68000,attack - Left Winger
97,3823,Alessandro Favaro,2018-06-20,135000,Goalkeeper
98,3831,Simone Sbardella,2018-06-19,113000,Defender - Centre-Back
99,3870,Jefferson Oliveira,2018-06-29,23000,Defender - Centre-Back
100,3901,Allan Blaze,2018-06-21,113000,midfield - Left Midfield
101,3922,Wojciech Pawlowski,2018-07-03,90000,Goalkeeper
102,3957,Jami Rafati,2018-06-19,23000,midfield - Central Midfield
103,3964,Guido Bennati,2018-06-26,68000,midfield - Central Midfield
104,3986,Daniel Tőzser,2018-06-27,540000,midfield - Central Midfield
105,4000,Luca Tagliavacche,2018-06-25,23000,midfield - Defensive Midfield
106,4014,Enzo Di Santantonio,2018-06-20,135000,midfield - Defensive Midfield
107,4037,Felipe Seymour,2018-06-03,450000,midfield - Defensive Midfield
108,4091,Francesco Todisco,2018-06-22,23000,Defender - Centre-Back
109,4115,Enis Nadarevic,2018-06-21,90000,attack - Left Winger
110,4152,Nicola Pasini,2018-06-20,180000,Defender - Centre-Back
111,4204,Davide Marsura,2018-06-18,405000,attack - Left Winger
112,4229,Sergiu Suciu,2018-06-18,270000,midfield - Central Midfield
113,4246,Giacomo Lucarini,2018-07-22,23000,Defender - Centre-Back
114,4252,Alessandro Comentale,2018-06-30,23000,midfield - Defensive Midfield
115,4268,Filippo Scaglia,2018-06-18,1080000,Defender - Centre-Back
116,4288,Jakub Hromada,2018-07-14,1130000,midfield - Defensive Midfield
117,4310,Umberto Saracco,2018-06-21,113000,Goalkeeper
118,4335,Riccardo Barbuti,2018-06-19,90000,attack - Centre-Forward
119,4361,Gaetano Masucci,2018-06-19,248000,attack - Centre-Forward
120,4376,Aladje,2018-06-26,135000,attack - Centre-Forward
121,4390,Lorenzo Lari,2018-06-25,23000,midfield - Right Midfield
122,4398,Eros Castelletto,2018-06-22,68000,midfield - Central Midfield
123,4418,Lorenzo Bambozzi,2018-06-30,45000,midfield - Central Midfield
124,4451,Tommaso Bianchi,2018-06-18,360000,midfield - Central Midfield
125,4467,Luca Benedetti,2018-06-25,90000,Defender - Centre-Back
126,4501,Lino Marzorati,2018-06-21,135000,Defender - Centre-Back
127,4557,Reto Ziegler,2018-05-02,900000,Defender - Centre-Back
128,4577,Simone Perilli,2018-06-20,180000,Goalkeeper
