"","passportArea.name","passportArea.id","passportArea.alpha3code","passportArea.alpha2code","weight","firstName","middleName","lastName","currentTeamId","birthDate","height","role.code2","role.code3","role.name","birthArea.name","birthArea.id","birthArea.alpha3code","birthArea.alpha2code","wyId","foot","shortName","currentNationalTeamId"
"1","Turkey","792","TUR","TR","78","Harun","","Tekin","4502","1989-06-17","187","GK","GKP","Goalkeeper","Turkey","792","TUR","TR","32777","right","H. Tekin","4687"
"2","Senegal","686","SEN","SN","73","Malang","","Sarr","3775","1999-01-23","182","DF","DEF","Defender","France","250","FRA","FR","393228","left","M. Sarr","4423"
"3","France","250","FRA","FR","72","Over","","Mandanda","3772","1998-10-26","176","GK","GKP","Goalkeeper","France","250","FRA","FR","393230","","O. Mandanda",NA
"4","Senegal","686","SEN","SN","82","Alfred John Momar","","N'Diaye","683","1990-03-06","187","MD","MID","Midfielder","France","250","FRA","FR","32793","right","A. N'Diaye","19314"
"5","France","250","FRA","FR","84","Ibrahima","","Konat\u00e9","2975","1999-05-25","192","DF","DEF","Defender","France","250","FRA","FR","393247","right","I. Konat\u00e9",NA
"6","Netherlands","528","NLD","NL","83","Jasper","","Cillessen","676","1989-04-22","185","GK","GKP","Goalkeeper","Netherlands","528","NLD","NL","33","right","J. Cillessen","664"
"7","Belgium","56","BEL","BE","91","Toby","","Alderweireld","1624","1989-03-02","187","DF","DEF","Defender","Belgium","56","BEL","BE","36","right","T. Alderweireld","5629"
"8","Belgium","56","BEL","BE","88","Jan","","Vertonghen","1624","1987-04-24","189","DF","DEF","Defender","Belgium","56","BEL","BE","48","left","J. Vertonghen","5629"
"9","France","250","FRA","FR","74","Alexander","","Djiku","3783","1994-08-09","182","DF","DEF","Defender","France","250","FRA","FR","229427","right","A. Djiku",NA
"10","Denmark","208","DNK","DK","76","Christian ","","Dannemann Eriksen","1624","1992-02-14","180","MD","MID","Midfielder","Denmark","208","DNK","DK","54","right","C. Eriksen","7712"
"11","Austria","40","AUT","AT","74","Marcel","","Sabitzer","2975","1994-03-17","177","MD","MID","Midfielder","Austria","40","AUT","AT","65596","right","M. Sabitzer",NA
"12","Iceland","352","ISL","IS","84","Kolbeinn","","Sig\u00fe\u00f3rsson","3770","1990-03-14","186","FW","FWD","Forward","Iceland","352","ISL","IS","66","right","K. Sig\u00fe\u00f3rsson",NA
"13","France","250","FRA","FR","74","Charles","","Traor\u00e9","3795","1992-01-01","180","DF","DEF","Defender","Mali","466","MLI","ML","393284","left","C. Traor\u00e9",NA
"14","Finland","246","FIN","FI","75","Niklas","","Moisander","2443","1985-09-29","183","DF","DEF","Defender","Finland","246","FIN","FI","77","left","N. Moisander","4849"
"15","Cura\u00e7ao","531","CUW","CW","91","Charlison","","Benschop","2455","1989-08-21","191","FW","FWD","Forward","Cura\u00e7ao","531","CUW","CW","91","right","C. Benschop","18138"
"16","Iceland","352","ISL","IS","77","Johann ","","Berg Gu\u00f0munds\u00adson","1646","1990-10-27","186","MD","MID","Midfielder","Iceland","352","ISL","IS","93","left","J. Gu\u00f0munds\u00adson","7839"
"17","Poland","616","POL","PL","83","Przemys\u0142aw","","Tyto\u0144","677","1987-01-04","194","GK","GKP","Goalkeeper","Poland","616","POL","PL","99","right","P. Tyto\u0144",NA
"18","Brazil","76","BRA","BR","85","Marcelo Ant\u00f4nio","","Guedes Filho","3766","1987-05-20","191","DF","DEF","Defender","Brazil","76","BRA","BR","102","right","Marcelo",NA
"19","Cura\u00e7ao","531","CUW","CW","65","Jetro","","Willems","2462","1994-03-30","169","DF","DEF","Defender","Netherlands","528","NLD","NL","110","left","J. Willems",NA
"20","Iraq","368","IRQ","IQ","78","Ali Adnan Kadhim","","Al Tameemi","3163","1993-12-19","186","DF","DEF","Defender","Iraq","368","IRQ","IQ","131184","left","Ali Adnan","17759"
"21","Netherlands","528","NLD","NL","78","Kevin","","Strootman","3158","1990-02-13","186","MD","MID","Midfielder","Netherlands","528","NLD","NL","114","left","K. Strootman",NA
"22","Ghana","288","GHA","GH","78","Memphis","","Depay","3766","1994-02-13","176","FW","FWD","Forward","Netherlands","528","NLD","NL","118","right","M. Depay","664"
"23","Belgium","56","BEL","BE","61","Dries","","Mertens","3187","1987-05-06","169","FW","FWD","Forward","Belgium","56","BEL","BE","122","right","D. Mertens","5629"
"24","Sweden","752","SWE","SE","78","Ola","","Toivonen","3780","1986-07-03","192","FW","FWD","Forward","Sweden","752","SWE","SE","123","right","O. Toivonen","7047"
"25","Netherlands","528","NLD","NL","78","Stefan","","de Vrij","3162","1992-02-05","189","DF","DEF","Defender","Netherlands","528","NLD","NL","130","right","S. de Vrij",NA
"26","Morocco","504","MAR","MA","78","Karim","","El Ahmadi Al Aroos","16469","1985-01-27","179","MD","MID","Midfielder","Netherlands","528","NLD","NL","142","right","K. El Ahmadi","16216"
"27","Sweden","752","SWE","SE","79","John","","Guidetti","696","1992-04-15","185","FW","FWD","Forward","Sweden","752","SWE","SE","151","right","J. Guidetti","7047"
"28","Turkey","792","TUR","TR","86","Volkan","","Babacan","4535","1988-08-11","192","GK","GKP","Goalkeeper","Turkey","792","TUR","TR","32923","right","V. Babacan","4687"
"29","Netherlands","528","NLD","NL","78","Jeffrey","","Gouweleeuw","2481","1991-07-10","188","DF","DEF","Defender","Netherlands","528","NLD","NL","159","right","J. Gouweleeuw",NA
"30","Serbia","688","SRB","RS","72","Filip","","\u0110uri\u010di\u0107","3219","1992-01-30","181","MD","MID","Midfielder","Serbia","688","SRB","RS","174","right","F. \u0110uri\u010di\u0107",NA
"31","Slovakia","703","SVK","SK","70","Peter","","Pekar\u00edk","2457","1986-10-30","176","DF","DEF","Defender","Slovakia","703","SVK","SK","32959","right","P. Pekar\u00edk","14496"
"32","Serbia","688","SRB","RS","93","Jago\u0161","","Vukovi\u0107","3194","1988-06-10","195","DF","DEF","Defender","Serbia","688","SRB","RS","192","left","J. Vukovi\u0107",NA
"33","Morocco","504","MAR","MA","77","Nordin","","Amrabat","16470","1987-03-31","178","FW","FWD","Forward","Netherlands","528","NLD","NL","32968","right","N. Amrabat","16216"
"34","C\u00f4te d'Ivoire","384","CIV","CI","72","Christian","","Kouakou Yao","3783","1991-03-01","182","FW","FWD","Forward","C\u00f4te d'Ivoire","384","CIV","CI","131321","right","C. Kouakou",NA
"35","Venezuela","862","VEN","VE","71","Roberto Jos\u00e9","","Rosales Altuve","683","1988-11-20","175","DF","DEF","Defender","Venezuela","862","VEN","VE","254","right","R. Rosales",NA
"36","Morocco","504","MAR","MA","80","Nacer","","Chadli","1627","1989-08-02","187","MD","MID","Midfielder","Belgium","56","BEL","BE","261","right","N. Chadli","5629"
"37","Netherlands","528","NLD","NL","76","Robin","","Gosens","3172","1994-06-05","183","DF","DEF","Defender","Germany","276","DEU","DE","295176","left","R. Gosens",NA
"38","Morocco","504","MAR","MA","78","Yacine","","Bammou","3770","1991-09-11","188","FW","FWD","Forward","France","250","FRA","FR","229697","right","Y. Bammou",NA
"39","France","250","FRA","FR","86","Florian","","Le Joncour","3783","1995-02-03","193","DF","DEF","Defender","France","250","FRA","FR","328021","left","F. Le Joncour",NA
"40","Brazil","76","BRA","BR","78","Andr\u00e9","","Ramalho Silva","8743","1992-02-16","182","DF","DEF","Defender","Brazil","76","BRA","BR","65880","right","Andr\u00e9 Ramalho",NA
"41","Italy","380","ITA","IT","69","Davide","","Borsellini","3163","1999-01-04","180","GK","GKP","Goalkeeper","Italy","380","ITA","IT","393566","left","D. Borsellini",NA
"42","Nigeria","566","NGA","NG","81","Leon-Aderemi","","Balogun","1651","1988-06-28","190","DF","DEF","Defender","Germany","276","DEU","DE","16443","right","L. Balogun","16823"
"43","Ghana","288","GHA","GH","70","Godfred","","Donsah","3166","1996-06-07","175","MD","MID","Midfielder","Ghana","288","GHA","GH","295273","right","G. Donsah","17527"
"44","Korea Republic","410","KOR","KR","82","Hyun-Jun","","Suk","3795","1991-06-29","190","FW","FWD","Forward","Korea Republic","410","KOR","KR","382","right","Suk Hyun-Jun",NA
"45","Serbia","688","SRB","RS","76","Du\u0161an","","Tadi\u0107","9","1988-11-20","181","MD","MID","Midfielder","Serbia","688","SRB","RS","383","left","D. Tadi\u0107","17322"
"46","Netherlands","528","NLD","NL","80","Bram","","Nuytinck","3163","1990-05-04","190","DF","DEF","Defender","Netherlands","528","NLD","NL","394","left","B. Nuytinck",NA
"47","Denmark","208","DNK","DK","78","Lasse","","Sch\u00f6ne","9","1986-05-27","177","MD","MID","Midfielder","Denmark","208","DNK","DK","405","right","L. Sch\u00f6ne","7712"
"48","Gambia","270","GMB","GM","56","Ablie","","Jallow","3777","1998-11-14","166","MD","MID","Midfielder","Gambia","270","GMB","GM","376908","left","A. Jallow",NA
"49","Romania","642","ROU","RO","75","Bogdan Sorin","","Stancu","4502","1987-06-28","183","FW","FWD","Forward","Romania","642","ROU","RO","33235","right","B. Stancu",NA
